projects_completed,tenure_months,portfolio_strength,on_time_delivery_percent,avg_client_rating,rating_trajectory,dispute_rate,project_category,project_success_score,project_price_inr
17,12,0.98,0.79,4.24,-0.14,0.071,Graphic Design,46.09,282392
24,26,0.64,0.75,3.91,0.14,0.129,UI/UX Design,26.54,223436
19,14,0.57,0.79,3.99,0.03,0.097,UI/UX Design,34.69,162200
39,44,0.88,0.77,4.02,0.23,0.093,Web Development,48.62,329075
16,23,0.96,0.74,3.72,0.16,0.132,UI/UX Design,32.94,252065
11,9,0.8,0.76,3.68,0.28,0.139,Mobile Development,31.69,162076
27,30,0.82,0.96,4.63,-0.05,0.044,Mobile Development,74.21,322151
23,19,0.88,0.95,4.55,0.16,0.058,Web Development,70.08,302497
43,55,0.58,0.82,3.86,0.09,0.118,UI/UX Design,34.96,269096
10,14,0.99,0.99,4.71,-0.16,0.071,UI/UX Design,69.92,316863
28,31,0.68,0.76,3.54,0.04,0.137,Mobile Development,19.64,224903
45,58,0.81,0.88,4.24,-0.09,0.081,Mobile Development,60.83,363319
8,7,0.73,0.74,3.66,0.25,0.143,UI/UX Design,22.28,164462
23,25,0.73,0.95,4.55,-0.06,0.075,UI/UX Design,62.7,280759
27,33,0.85,0.75,3.97,0.16,0.093,UI/UX Design,40.38,284717
48,52,1.0,0.73,3.68,0.12,0.121,UI/UX Design,39.9,382398
21,12,0.83,0.79,4.15,0.06,0.092,UI/UX Design,44.15,273857
46,49,0.9,0.98,4.53,0.08,0.073,Mobile Development,75.57,422950
5,13,0.51,0.72,3.7,0.25,0.12,Graphic Design,19.53,77050
40,52,0.91,0.81,4.03,0.08,0.102,Mobile Development,46.82,351634
34,40,0.65,0.78,3.85,0.24,0.105,Mobile Development,35.63,253262
10,19,0.56,0.92,4.26,0.0,0.092,Graphic Design,42.3,154450
17,22,0.56,0.81,4.02,0.08,0.106,Mobile Development,31.9,156529
34,41,0.84,0.89,4.68,-0.05,0.068,Web Development,63.78,354182
44,55,1.0,0.85,4.2,0.13,0.097,Mobile Development,62.37,401381
38,45,0.83,0.87,4.25,-0.15,0.097,Graphic Design,49.92,350279
5,9,0.63,0.71,3.55,0.05,0.15,UI/UX Design,12.16,92523
7,7,0.6,0.8,4.01,0.07,0.113,Mobile Development,29.98,147822
14,11,0.76,0.96,4.85,0.09,0.023,Mobile Development,73.21,272221
49,59,0.53,0.89,4.25,-0.09,0.103,Graphic Design,44.74,298288
42,47,0.7,0.99,4.78,-0.06,0.064,Mobile Development,74.0,352108
13,9,0.83,0.94,4.56,0.15,0.066,Web Development,65.03,278289
47,59,0.98,0.86,4.12,0.1,0.085,Mobile Development,62.12,376273
31,34,0.71,0.9,4.39,-0.06,0.085,Mobile Development,52.83,311951
18,23,0.6,0.92,4.67,-0.07,0.051,UI/UX Design,58.22,250935
26,31,0.91,0.8,3.82,0.11,0.107,UI/UX Design,42.68,296041
36,49,0.87,0.73,3.69,0.28,0.149,Graphic Design,39.17,296562
39,39,0.93,0.84,4.17,0.09,0.105,UI/UX Design,56.39,398625
14,15,0.61,0.73,3.62,0.16,0.15,UI/UX Design,18.65,143055
41,41,0.7,0.78,3.9,0.02,0.129,Web Development,38.2,299914
20,19,0.99,1.0,4.86,0.0,0.036,Mobile Development,77.15,371378
27,36,0.58,0.94,4.39,-0.13,0.078,Web Development,51.15,219407
46,53,0.84,0.89,4.3,-0.03,0.075,Mobile Development,58.96,376660
24,20,0.62,0.81,3.96,0.25,0.123,UI/UX Design,39.36,194784
14,13,0.75,0.78,3.69,0.09,0.136,Mobile Development,25.65,167893
19,19,0.9,0.89,4.32,-0.15,0.091,Mobile Development,54.26,286669
23,28,0.74,0.86,4.19,0.18,0.089,Mobile Development,55.46,261151
38,45,0.9,0.95,4.88,0.01,0.046,Web Development,77.94,417119
25,26,0.71,0.97,4.57,-0.07,0.072,UI/UX Design,62.29,267106
17,21,1.0,0.82,4.19,0.1,0.106,Graphic Design,52.26,273134
37,50,0.72,0.76,3.83,0.22,0.11,UI/UX Design,34.57,276501
28,23,0.57,0.8,4.1,0.09,0.107,Web Development,35.4,203796
47,52,0.7,0.83,3.93,0.26,0.131,Web Development,46.01,283812
45,58,0.87,0.72,3.5,0.19,0.134,Web Development,31.26,310988
27,29,0.92,0.98,4.68,-0.01,0.074,Graphic Design,72.8,366860
20,31,0.73,1.0,4.9,-0.07,0.026,Graphic Design,75.15,299328
17,30,0.8,0.98,4.67,-0.01,0.074,Graphic Design,66.9,274412
47,50,0.92,0.98,4.67,0.19,0.071,UI/UX Design,82.64,463955
40,46,0.91,1.0,5.0,0.1,0.041,UI/UX Design,85.44,417269
30,34,0.83,0.98,4.61,0.14,0.05,UI/UX Design,78.44,345171
21,20,0.91,0.92,4.6,-0.05,0.051,Web Development,62.45,331458
50,50,0.79,0.75,3.59,0.21,0.133,Graphic Design,38.16,319174
13,6,0.5,0.72,3.77,0.25,0.141,Graphic Design,20.84,113634
22,30,0.52,0.7,3.5,0.04,0.138,Web Development,3.83,138683
5,12,0.99,0.85,4.21,-0.02,0.096,UI/UX Design,45.2,237380
20,14,0.57,0.92,4.38,-0.15,0.091,Mobile Development,48.31,216034
31,29,0.7,0.84,4.13,0.3,0.098,Mobile Development,50.54,263178
12,6,0.97,0.83,4.1,0.22,0.116,UI/UX Design,50.54,245686
37,49,0.6,0.72,3.5,0.29,0.15,Graphic Design,22.28,188472
16,13,0.92,0.73,3.57,0.25,0.148,Mobile Development,28.02,209624
23,29,0.91,0.84,4.13,0.26,0.107,Web Development,60.97,295280
20,16,0.99,0.75,3.62,0.28,0.15,Graphic Design,38.65,251011
50,56,0.64,0.72,3.61,0.16,0.121,UI/UX Design,31.23,286825
18,22,0.66,0.81,3.95,0.21,0.11,Web Development,34.39,194590
20,13,0.95,0.87,4.33,-0.05,0.102,Mobile Development,53.73,303891
35,40,0.62,0.74,3.66,0.11,0.121,UI/UX Design,27.25,223419
37,40,0.77,0.91,4.76,-0.05,0.039,Graphic Design,63.75,400502
26,38,0.85,0.84,3.79,0.29,0.129,Mobile Development,46.87,271407
13,10,0.64,0.72,3.5,0.03,0.15,Web Development,15.85,93209
36,47,0.97,0.91,4.52,0.12,0.052,UI/UX Design,72.54,420971
40,44,0.83,0.82,4.03,0.22,0.088,Graphic Design,52.11,338235
46,46,0.52,0.7,3.57,0.15,0.15,Web Development,22.42,213548
31,33,0.57,0.97,4.17,0.07,0.1,Web Development,53.67,225778
9,12,0.6,0.86,4.15,0.01,0.089,Web Development,41.41,168455
18,14,0.62,0.83,4.07,0.29,0.123,Web Development,41.16,194657
16,13,0.87,0.97,4.76,0.17,0.052,UI/UX Design,71.4,316146
28,17,0.54,0.96,4.68,0.07,0.062,Mobile Development,65.14,247190
35,39,0.68,0.76,3.76,0.19,0.125,Graphic Design,35.54,237121
30,38,0.96,0.96,4.63,-0.09,0.077,Graphic Design,66.3,367802
48,53,0.78,0.95,4.4,-0.12,0.069,Mobile Development,60.92,390624
49,60,0.63,0.7,3.57,0.02,0.15,Web Development,17.66,269411
26,28,0.98,0.94,4.51,0.2,0.054,Web Development,70.11,355609
22,29,0.62,0.71,3.5,0.09,0.15,Web Development,16.41,153249
35,42,0.95,0.9,4.36,0.16,0.084,Graphic Design,67.75,365089
35,40,0.86,0.91,4.36,-0.15,0.068,Mobile Development,57.48,327726
41,49,0.87,0.82,3.81,0.23,0.118,UI/UX Design,44.34,333540
35,45,0.88,0.98,4.8,0.03,0.033,Mobile Development,78.05,398243
26,27,0.75,0.94,4.82,0.19,0.058,Mobile Development,75.13,320744
24,32,0.91,0.99,4.81,0.02,0.051,Web Development,81.95,353833
29,40,0.92,0.81,4.03,0.24,0.106,Web Development,44.17,300761
13,6,0.68,0.7,3.72,0.06,0.134,Graphic Design,13.75,166405
38,40,0.7,0.94,4.82,-0.05,0.038,UI/UX Design,71.78,358266
29,42,0.94,0.79,3.85,0.3,0.119,Web Development,51.55,288563
34,52,0.76,0.84,4.0,0.21,0.114,Graphic Design,50.27,286700
14,19,0.93,0.96,4.71,-0.07,0.042,Graphic Design,66.72,297856
10,8,0.81,0.77,3.83,0.23,0.109,Graphic Design,32.77,179976
15,6,0.8,0.8,4.07,0.14,0.122,Graphic Design,40.11,224443
11,10,0.52,0.81,3.97,0.06,0.102,Graphic Design,28.08,127104
24,31,0.64,0.77,3.82,0.15,0.124,Web Development,30.17,183001
50,60,0.75,0.84,3.96,0.23,0.124,Web Development,50.52,332539
18,19,0.79,0.71,3.68,0.05,0.137,Mobile Development,24.26,198393
31,44,0.82,0.77,3.71,0.15,0.139,UI/UX Design,32.39,241924
22,32,0.86,0.96,4.45,0.18,0.061,Graphic Design,71.39,286194
8,14,0.83,0.83,3.67,0.25,0.132,UI/UX Design,35.63,162093
32,20,0.92,0.91,4.39,0.14,0.087,Graphic Design,64.69,335223
24,20,0.65,0.76,3.65,0.2,0.126,Mobile Development,27.5,176966
25,31,0.82,0.9,4.34,-0.07,0.082,Graphic Design,55.0,294611
45,47,0.53,0.98,4.63,0.16,0.063,Graphic Design,65.2,301964
15,18,0.74,0.88,4.21,-0.15,0.104,Mobile Development,39.18,220454
50,56,0.63,0.88,4.14,0.29,0.087,Web Development,56.41,300283
33,37,0.69,0.73,3.51,0.15,0.15,UI/UX Design,26.77,213484
34,44,0.68,0.81,3.85,0.14,0.141,Mobile Development,36.24,244430
48,54,0.53,0.94,4.49,0.09,0.051,Mobile Development,55.67,317692
48,57,0.73,0.95,4.41,-0.03,0.072,Web Development,66.58,387303
34,37,1.0,0.88,4.47,-0.12,0.055,Graphic Design,63.44,406701
12,9,0.65,0.96,4.63,0.09,0.052,Web Development,61.17,200862
32,35,0.87,0.75,3.51,0.27,0.15,Graphic Design,34.32,262291
40,42,0.77,0.9,4.4,-0.02,0.082,UI/UX Design,62.85,336005
38,28,0.66,0.77,3.65,0.01,0.122,UI/UX Design,27.46,251412
44,44,0.54,0.87,4.41,-0.17,0.085,UI/UX Design,45.07,293179
43,50,0.61,0.71,3.5,0.3,0.15,Web Development,22.95,240430
18,20,0.89,1.0,5.0,-0.1,0.036,UI/UX Design,76.54,347775
39,48,0.64,0.92,4.62,0.16,0.052,Web Development,64.49,319517
24,34,0.57,0.74,4.23,0.01,0.072,UI/UX Design,31.9,206414
39,41,0.67,0.88,4.31,0.07,0.091,Web Development,58.52,309844
13,18,0.79,0.93,4.61,-0.18,0.068,UI/UX Design,55.69,263891
30,37,0.85,0.77,3.82,0.21,0.133,Mobile Development,35.91,255206
17,12,0.69,0.72,3.61,0.23,0.123,Web Development,20.3,188408
45,56,0.75,0.81,4.14,0.23,0.099,Mobile Development,45.4,344447
22,27,0.73,0.74,3.78,0.29,0.124,UI/UX Design,30.4,207719
23,33,0.5,0.85,4.12,0.25,0.111,Web Development,39.51,189526
16,7,0.7,0.82,4.23,0.15,0.101,UI/UX Design,44.14,196476
36,47,0.79,0.84,4.27,0.15,0.106,Web Development,58.78,304456
39,50,0.78,0.87,4.45,-0.2,0.09,Graphic Design,53.36,326840
39,58,0.87,1.0,4.98,-0.04,0.034,Mobile Development,85.82,391844
13,11,0.84,0.95,4.51,0.12,0.088,Graphic Design,69.13,265986
28,33,0.64,0.88,4.2,0.1,0.08,UI/UX Design,45.04,237078
30,33,0.63,0.8,3.86,0.12,0.102,Web Development,38.5,219549
35,49,0.73,0.71,3.64,0.21,0.123,Mobile Development,31.36,244524
45,49,0.87,0.75,3.9,0.26,0.112,Mobile Development,41.96,362800
14,25,0.55,0.9,4.52,0.2,0.079,Mobile Development,55.45,189787
30,35,0.97,0.83,3.86,0.24,0.116,UI/UX Design,47.02,287608
17,16,0.77,0.8,3.84,0.21,0.134,UI/UX Design,35.1,192876
50,60,0.65,0.96,4.72,-0.03,0.062,Mobile Development,74.31,416889
30,33,0.85,0.86,4.36,0.06,0.093,Web Development,53.99,307325
31,30,0.52,0.95,4.62,-0.1,0.048,UI/UX Design,55.92,268638
44,44,0.74,0.97,4.88,-0.05,0.04,UI/UX Design,71.89,411784
32,38,0.74,0.72,3.5,0.04,0.15,UI/UX Design,21.62,228056
5,6,0.58,0.97,4.62,-0.08,0.051,Graphic Design,52.54,152338
31,32,0.92,0.74,3.89,0.01,0.133,Mobile Development,32.08,300054
46,57,0.9,1.0,4.85,0.17,0.053,Web Development,91.65,419729
24,18,0.58,0.82,3.89,0.06,0.103,UI/UX Design,30.55,194614
36,46,0.68,0.92,4.58,0.08,0.052,Web Development,57.42,320388
6,8,0.55,0.89,4.35,0.1,0.071,UI/UX Design,45.16,171831
38,44,0.92,0.87,4.18,0.05,0.111,UI/UX Design,59.51,366618
5,11,0.66,0.88,4.03,0.11,0.095,Web Development,38.32,105418
12,13,0.72,0.98,4.83,0.12,0.049,Web Development,69.83,251092
27,32,0.66,0.97,4.5,0.02,0.052,Web Development,69.72,243826
16,14,0.66,0.89,4.63,-0.15,0.062,Mobile Development,53.0,259941
31,42,0.87,0.91,4.14,0.24,0.084,Web Development,60.88,293657
29,38,0.87,0.79,3.88,0.24,0.122,Web Development,44.06,295268
50,56,0.76,0.95,4.69,-0.0,0.049,Web Development,73.2,418827
40,47,0.83,0.9,4.2,-0.11,0.098,Web Development,49.63,333053
46,49,0.76,0.95,4.47,-0.0,0.068,Web Development,65.0,388145
24,29,0.51,0.87,4.38,-0.15,0.094,Web Development,42.49,211090
19,20,0.53,0.77,3.65,0.09,0.148,Web Development,16.95,164889
50,59,0.69,0.75,4.01,0.14,0.123,UI/UX Design,38.53,307044
41,37,0.87,0.74,3.66,0.06,0.126,Web Development,26.87,329593
31,37,0.96,0.9,4.29,0.02,0.073,Web Development,65.56,357412
25,29,0.51,0.76,4.01,0.07,0.111,Graphic Design,35.26,167445
44,46,0.68,0.88,4.13,0.25,0.114,Web Development,56.4,333946
45,57,0.61,0.7,3.78,0.08,0.112,Graphic Design,24.11,253816
46,54,0.91,0.83,3.91,0.16,0.107,Web Development,44.76,382376
50,54,0.92,0.8,4.1,0.19,0.112,Web Development,55.29,382648
44,57,0.6,0.8,4.2,0.22,0.093,UI/UX Design,48.57,302289
19,17,0.86,0.73,3.6,0.01,0.146,Graphic Design,24.33,213509
46,44,0.87,0.93,4.48,-0.06,0.076,Mobile Development,70.04,432190
14,7,0.59,0.72,3.54,0.09,0.143,Web Development,15.67,113190
12,8,0.72,0.7,3.5,0.25,0.15,UI/UX Design,17.36,111690
44,54,0.81,0.99,4.77,-0.06,0.063,Mobile Development,70.89,399778
33,42,0.51,0.73,3.78,0.06,0.144,Graphic Design,22.23,172325
40,54,0.7,0.94,4.64,-0.1,0.04,Web Development,61.74,377581
29,22,0.58,0.97,4.76,0.19,0.052,UI/UX Design,72.05,278080
50,54,0.77,0.86,4.09,0.12,0.084,Mobile Development,60.12,342950
6,7,0.92,0.87,4.1,0.22,0.118,Mobile Development,57.34,215556
11,7,0.76,0.81,4.25,-0.03,0.087,Mobile Development,34.76,240378
30,33,0.52,0.8,3.75,0.23,0.146,Mobile Development,34.56,203200
50,59,0.51,0.82,4.0,0.16,0.097,Mobile Development,43.94,287917
27,28,0.8,0.75,3.83,0.1,0.11,UI/UX Design,34.5,235852
36,42,0.66,0.8,4.17,0.11,0.113,Web Development,41.49,278401
30,37,0.79,0.95,4.58,0.06,0.081,Graphic Design,62.08,310014
35,38,0.58,0.74,3.71,0.07,0.144,Mobile Development,22.61,219678
7,6,0.89,0.93,4.44,-0.07,0.064,UI/UX Design,60.95,232512
24,24,0.93,0.91,4.68,-0.13,0.042,Web Development,66.87,365346
9,7,0.94,0.74,3.86,0.08,0.131,UI/UX Design,30.37,207912
46,58,0.65,0.7,3.5,0.18,0.15,Graphic Design,24.15,255977
36,49,0.83,0.81,4.09,0.01,0.118,UI/UX Design,49.75,322431
30,31,0.64,0.9,4.33,-0.19,0.074,Mobile Development,50.75,259758
32,37,0.88,0.81,4.03,0.29,0.099,Web Development,51.57,322433
22,11,0.56,0.88,4.17,0.27,0.106,UI/UX Design,47.27,195005
27,37,0.88,0.91,4.13,0.02,0.09,Web Development,56.08,295976
50,60,0.72,0.94,4.37,0.1,0.079,Mobile Development,63.23,370736
11,9,0.93,0.75,3.62,0.03,0.141,Graphic Design,29.51,204608
50,60,0.87,0.89,4.23,-0.17,0.099,Graphic Design,57.07,405606
19,16,0.69,0.71,3.5,0.27,0.144,Web Development,19.36,122807
23,22,0.95,0.77,3.86,0.05,0.135,Mobile Development,40.31,292481
36,43,0.64,0.79,3.66,0.04,0.133,Graphic Design,31.91,218140
23,29,0.98,0.94,4.51,-0.07,0.05,UI/UX Design,69.85,321906
14,10,0.88,1.0,4.62,0.03,0.043,Web Development,75.05,271788
40,57,1.0,0.83,3.78,0.14,0.146,Web Development,43.59,370316
27,39,0.53,0.83,4.07,0.09,0.109,Mobile Development,41.3,206220
18,11,0.64,0.77,3.76,0.22,0.129,Mobile Development,23.47,131005
16,27,0.87,0.91,4.44,0.03,0.089,Graphic Design,56.75,280918
15,16,0.96,0.83,4.31,0.1,0.094,Web Development,55.25,279719
39,53,0.51,0.82,4.13,0.26,0.087,UI/UX Design,46.92,245548
18,21,0.5,0.85,4.43,-0.19,0.056,UI/UX Design,37.65,157189
34,38,0.63,0.89,4.29,0.16,0.106,UI/UX Design,52.1,279087
20,14,0.93,0.74,3.55,0.03,0.15,UI/UX Design,29.3,237286
19,11,0.88,0.88,4.35,-0.01,0.081,Mobile Development,57.34,283330
16,21,0.67,0.82,4.3,0.13,0.103,Graphic Design,42.62,211171
28,34,0.5,0.72,3.5,0.23,0.145,Mobile Development,10.2,128883
31,8,0.78,0.77,3.99,0.21,0.12,UI/UX Design,37.92,268940
22,25,0.62,0.95,4.66,0.02,0.064,UI/UX Design,61.59,273443
31,41,0.87,0.97,4.62,-0.16,0.067,Graphic Design,73.5,351639
19,24,0.72,0.71,3.76,0.1,0.137,Web Development,25.69,204462
27,31,0.84,0.92,4.25,-0.03,0.07,Mobile Development,55.57,289074
9,8,0.93,0.88,4.4,0.1,0.091,Graphic Design,59.59,264811
21,24,0.77,0.98,4.7,0.12,0.071,UI/UX Design,74.07,297568
23,25,0.67,0.96,4.81,0.15,0.043,UI/UX Design,70.13,280819
32,37,0.88,0.89,4.36,0.14,0.083,Web Development,66.67,362083
9,12,0.63,0.73,3.79,0.22,0.119,Graphic Design,21.46,134935
49,57,0.95,0.86,4.19,0.22,0.106,Graphic Design,63.72,422446
40,46,0.54,0.9,4.28,0.05,0.097,UI/UX Design,48.23,257674
35,38,0.92,1.0,4.79,-0.14,0.057,Web Development,73.77,423942
30,45,0.55,0.79,3.91,0.0,0.126,Mobile Development,24.79,195228
38,44,0.53,0.91,4.48,-0.03,0.061,UI/UX Design,54.85,290816
12,23,0.68,0.9,4.46,0.09,0.058,UI/UX Design,55.72,206913
37,45,0.98,0.75,3.7,0.28,0.126,Web Development,45.01,312822
12,6,0.99,0.89,4.43,0.15,0.078,Web Development,62.14,316518
22,16,0.6,0.74,4.01,0.13,0.105,Graphic Design,29.59,182355
31,33,0.57,0.89,4.2,-0.01,0.084,UI/UX Design,49.14,241178
30,30,0.68,0.88,4.41,0.18,0.058,Mobile Development,57.96,269917
44,55,0.67,0.98,4.63,-0.06,0.045,UI/UX Design,67.72,323054
23,28,0.88,0.99,4.63,0.09,0.044,Web Development,74.18,328299
45,36,0.72,0.7,3.72,0.08,0.15,Mobile Development,29.23,313051
35,35,0.89,0.74,3.53,0.05,0.15,UI/UX Design,31.24,265374
34,47,0.87,0.94,4.55,0.11,0.051,Graphic Design,73.96,351174
26,40,0.79,0.91,4.29,0.13,0.086,Mobile Development,62.27,285473
11,12,0.92,0.96,4.98,0.14,0.038,Web Development,79.85,323820
26,21,0.6,0.76,3.78,0.04,0.146,Graphic Design,32.83,176557
28,31,0.58,0.94,4.37,0.14,0.071,Graphic Design,53.39,221963
33,53,0.88,0.85,4.0,0.24,0.101,Graphic Design,53.67,314684
46,57,0.62,0.77,4.1,0.19,0.104,Web Development,39.45,292670
45,54,0.5,0.7,3.5,0.03,0.15,Web Development,14.28,223461
5,7,0.96,0.98,4.71,-0.14,0.044,UI/UX Design,65.71,268347
9,6,0.81,0.87,4.45,-0.1,0.059,Graphic Design,45.45,228942
39,53,0.72,0.99,4.95,-0.07,0.025,Mobile Development,76.14,362430
8,17,0.86,0.93,4.35,0.12,0.08,Mobile Development,62.25,235808
20,10,0.67,0.72,3.5,0.03,0.144,Graphic Design,15.23,143080
31,42,0.98,0.9,4.28,0.13,0.102,Web Development,66.54,361859
29,37,0.53,0.7,3.5,0.1,0.15,UI/UX Design,11.92,152767
46,60,0.82,0.87,4.38,0.04,0.075,Web Development,58.19,383377
15,14,0.89,0.82,4.0,0.24,0.123,Web Development,45.34,243048
48,46,0.73,0.89,4.28,-0.18,0.07,Graphic Design,54.17,340531
29,40,0.88,0.88,4.26,0.16,0.091,Graphic Design,63.11,342039
21,24,0.96,0.8,3.85,0.05,0.135,UI/UX Design,42.19,289501
45,53,0.87,0.76,4.0,0.1,0.107,Graphic Design,46.77,343373
16,21,0.65,0.81,3.88,0.08,0.105,Web Development,31.97,148995
9,8,0.78,1.0,4.8,0.03,0.037,Mobile Development,69.02,256364
26,25,0.96,0.85,4.25,0.05,0.09,Graphic Design,52.29,310847
22,29,0.72,0.92,4.56,0.12,0.079,UI/UX Design,62.46,268584
47,59,0.84,0.73,3.56,0.11,0.15,UI/UX Design,28.24,309903
31,38,0.73,0.81,4.15,0.28,0.081,Web Development,56.21,252070
26,29,0.56,0.86,4.49,-0.05,0.072,Graphic Design,47.5,222340
48,57,0.53,0.9,4.65,-0.16,0.073,UI/UX Design,50.63,313957
19,16,0.98,0.88,3.91,0.02,0.12,Web Development,48.73,281710
50,54,0.81,0.86,4.18,0.07,0.078,Web Development,56.9,367533
5,13,0.55,0.91,4.31,-0.02,0.098,Graphic Design,40.11,148925
34,41,0.93,0.81,4.07,0.07,0.121,Graphic Design,50.33,310491
30,43,0.76,0.73,3.78,0.26,0.123,Graphic Design,33.45,249430
36,45,0.89,0.82,3.84,0.19,0.115,Web Development,49.33,313739
28,25,0.56,0.73,3.76,0.09,0.131,Web Development,22.12,184177
40,40,0.95,1.0,4.8,-0.12,0.066,Mobile Development,76.38,438638
50,53,0.8,0.88,4.23,-0.18,0.105,Web Development,52.89,363986
33,30,0.87,0.85,4.21,-0.11,0.106,UI/UX Design,46.45,336613
34,40,0.52,0.95,4.56,-0.04,0.053,Web Development,55.35,253739
34,30,0.66,0.96,4.8,-0.05,0.062,Graphic Design,66.96,318418
38,34,0.63,0.81,3.93,0.09,0.118,Web Development,45.02,265177
22,23,0.97,0.98,4.93,0.03,0.052,Graphic Design,83.91,394651
49,51,0.59,0.7,3.51,0.11,0.15,Web Development,22.8,227656
22,23,0.85,0.98,4.34,0.2,0.096,Mobile Development,65.38,272580
17,7,0.52,0.77,3.68,0.01,0.122,Web Development,21.64,122990
48,59,0.6,0.85,4.15,0.19,0.106,Web Development,54.66,324044
31,40,0.67,0.77,3.87,0.05,0.111,UI/UX Design,36.97,196430
15,21,0.9,1.0,4.79,0.0,0.034,Mobile Development,72.77,283361
38,46,0.89,0.74,3.55,0.02,0.149,Graphic Design,30.37,318847
36,41,0.98,0.86,4.45,0.13,0.078,UI/UX Design,64.98,425476
28,38,0.96,0.91,4.61,0.16,0.061,Web Development,77.65,368329
10,9,0.54,0.86,4.03,0.0,0.091,UI/UX Design,34.81,121253
30,38,0.91,0.94,4.41,-0.09,0.067,Graphic Design,63.42,340935
13,19,0.73,0.91,4.48,0.03,0.061,Graphic Design,59.27,205479
29,26,0.93,0.96,4.59,0.13,0.056,UI/UX Design,76.65,360270
50,53,0.54,0.75,3.5,0.27,0.15,Mobile Development,31.83,216135
28,25,0.91,0.83,3.94,0.25,0.112,Graphic Design,45.94,279156
14,13,0.58,0.8,4.03,0.13,0.126,Mobile Development,33.99,151527
13,12,0.67,0.98,4.72,0.0,0.033,Graphic Design,68.65,240566
5,8,0.51,0.8,3.79,0.21,0.115,Mobile Development,28.22,95446
23,22,0.56,0.75,3.62,0.01,0.143,Graphic Design,23.23,125438
